anonymized_registration;statusCode;statusYear;admissionCode;admissionYear;affirmativePolicy;birthDate;secondarySchool;secondarySchoolGraduationYear;gender;curriculumCode;mandatoryCredits;optionalCredits;complementaryCredits;gpa;completedTerms;suspendedTerms;institutionalEnrollments;mobilityTerms;enrolledCredits;admissionGrade
615894050;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;17/03/1981;;0;Masculino;1999;114;42;52;7,73;9;0;0;0;0;589,00
126163894;GRADUADO;2005.2;VESTIBULAR;2000.1;N/A;22/08/1982;;0;Masculino;1999;114;42;52;6,79;12;0;0;0;0;716,00
061694686;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;18/11/1981;;0;Masculino;1999;114;43;52;8,65;9;0;0;0;0;700,00
635465153;GRADUADO;2003.2;VESTIBULAR;2000.1;N/A;28/10/1981;;0;Feminino;1999;114;43;52;8,35;8;0;0;0;0;682,00
200841483;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;21/01/1982;Somente escola privada;1999;Masculino;1999;114;42;52;8,88;9;0;0;0;0;667,00
090072662;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;05/02/1983;Somente escola privada;1999;Masculino;1999;114;42;52;8,63;9;0;0;0;0;662,00
943396767;GRADUADO;2006.2;VESTIBULAR;2000.1;N/A;12/06/1980;Somente escola privada;1997;Masculino;1999;114;44;52;5,81;14;0;0;0;0;653,00
703871980;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;12/07/1982;;0;Masculino;1999;114;44;52;8,50;9;0;0;0;0;647,00
401592234;GRADUADO;2003.2;VESTIBULAR;2000.1;N/A;06/01/1980;;0;Masculino;1999;114;42;52;8,57;8;0;0;0;0;635,00
701712877;GRADUADO;2005.1;VESTIBULAR;2000.1;N/A;01/04/1978;;0;Masculino;1999;114;42;52;5,96;11;0;0;0;0;632,00
840980994;CANCELAMENTO POR ABANDONO;2007.1;VESTIBULAR;2000.1;N/A;26/09/1980;;0;Masculino;1999;76;38;18;4,66;13;1;1;0;0;587,00
618039167;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;10/01/1982;;0;Masculino;1999;114;42;52;8,06;9;0;0;0;0;627,00
817805110;GRADUADO;2003.1;VESTIBULAR;2000.1;N/A;26/10/1981;;0;Masculino;1999;119;48;52;8,64;7;0;0;0;0;627,00
017161145;GRADUADO;2005.1;VESTIBULAR;2000.1;N/A;15/11/1980;Somente escola privada;1998;Masculino;1999;114;42;52;6,38;11;0;0;0;0;619,00
818103491;GRADUADO;2004.2;VESTIBULAR;2000.1;N/A;21/04/1982;;0;Feminino;1999;114;42;52;6,90;10;0;0;0;0;589,00
349131840;GRADUADO;2004.2;VESTIBULAR;2000.1;N/A;04/09/1978;;0;Feminino;1999;114;42;52;6,87;10;0;0;0;0;614,00
909806207;GRADUADO;2004.2;VESTIBULAR;2000.1;N/A;29/09/1980;;0;Masculino;1999;114;42;52;7,44;10;0;0;0;0;612,00
073967071;GRADUADO;2005.1;VESTIBULAR;2000.1;N/A;10/02/1980;;0;Masculino;1999;112;46;51;6,48;11;0;0;0;0;608,00
909478645;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;28/08/1982;;0;Masculino;1999;114;43;52;9,07;9;0;0;0;0;602,00
271161164;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;22/07/1980;;0;Masculino;1999;114;43;52;7,42;9;0;0;0;0;598,00
801957647;GRADUADO;2003.2;VESTIBULAR;2000.1;N/A;23/06/1980;;0;Masculino;1999;114;44;52;8,58;8;0;0;0;0;598,00
214020548;GRADUADO;2004.1;VESTIBULAR;2000.1;N/A;23/06/1982;;0;Masculino;1999;114;43;52;8,12;9;0;0;0;0;593,00
273077242;GRADUADO;2003.2;VESTIBULAR;2000.1;N/A;30/11/1981;;0;Masculino;1999;114;42;52;8,28;8;0;0;0;0;597,00
392995417;GRADUADO;2006.1;VESTIBULAR;2000.2;N/A;05/09/1978;;0;Masculino;1999;115;42;52;5,92;12;0;0;0;0;563,00
460830390;GRADUADO;2005.2;VESTIBULAR;2000.2;N/A;01/05/1979;;0;Masculino;1999;116;45;52;6,73;11;0;0;0;0;566,00
878235259;CANCELADO NOVO INGRESSO MESMO CURSO;2008.2;VESTIBULAR;2000.2;N/A;01/07/1982;;0;Feminino;1999;106;42;42;4,74;16;0;0;0;0;562,00
651761406;GRADUADO;2005.1;VESTIBULAR;2000.2;N/A;29/04/1981;Somente escola privada;1999;Masculino;1999;114;44;52;7,26;10;0;0;0;0;564,00
908780335;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;25/01/1980;;0;Masculino;1999;122;44;52;8,42;8;0;0;0;0;563,00
277259397;GRADUADO;2005.1;VESTIBULAR;2000.2;N/A;28/10/1980;;0;Masculino;1999;114;42;52;7,12;10;0;0;0;0;561,00
385112189;GRADUADO;2005.1;VESTIBULAR;2000.2;N/A;22/12/1979;;0;Masculino;1999;114;44;52;6,69;10;0;0;0;0;586,00
141992360;GRADUADO;2007.2;VESTIBULAR;2000.2;N/A;30/04/1981;;0;Masculino;1999;114;44;52;6,56;13;2;0;0;0;586,00
531322378;GRADUADO;2005.1;VESTIBULAR;2000.2;N/A;08/01/1983;Somente escola privada;1999;Masculino;1999;114;44;52;6,34;10;0;0;0;0;584,00
954238034;GRADUADO;2004.2;VESTIBULAR;2000.2;N/A;12/02/1982;;0;Masculino;1999;114;42;52;7,80;9;0;0;0;0;582,00
330920433;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;02/01/1982;;0;Masculino;1999;114;44;52;7,63;8;0;0;0;0;582,00
000749323;GRADUADO;2007.2;VESTIBULAR;2000.2;N/A;01/11/1982;;0;Masculino;1999;116;43;52;6,00;15;0;0;0;0;581,00
674196855;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;31/03/1979;;0;Masculino;1999;114;44;52;7,12;8;0;0;0;0;579,00
508456020;GRADUADO;2004.2;VESTIBULAR;2000.2;N/A;06/06/1981;;0;Masculino;1999;114;44;52;8,11;9;0;0;0;0;579,00
493665033;GRADUADO;2005.1;VESTIBULAR;2000.2;N/A;17/06/1982;;0;Feminino;1999;114;43;52;7,15;10;0;0;0;0;579,00
197760666;GRADUADO;2003.2;VESTIBULAR;2000.2;N/A;23/03/1978;;0;Masculino;1999;124;46;52;8,10;7;0;0;0;0;579,00
653873844;GRADUADO;2004.1;VESTIBULAR;2000.2;N/A;27/07/1981;;0;Feminino;1999;114;44;52;8,59;8;0;0;0;0;561,00
